serial_number,time_stamp,opening_value,highest_value,lowest_value,settle_value,volume_sell
1,2017-10-13,0,0,0,896.5,1212
2,2017-10-12,892.5,892.5,892.5,892.5,304
3,2017-10-11,894,894,894,892.5,25
4,2017-10-10,891.5,896.5,891.5,896.5,298
5,2017-10-09,0,0,0,885,188
6,2017-10-06,889.5,890,885.5,887.5,339
7,2017-10-05,887,890.5,887,890.5,130
8,2017-10-04,882,883,881.5,883,16
9,2017-10-03,877,877,877,878,6
10,2017-10-02,862,863.5,862,864,835
11,2017-09-29,857,857,857,854,53
12,2017-09-28,848.5,848.5,842.5,844,236
13,2017-09-27,851,851,851,847,226
14,2017-09-26,846.5,846.5,846.5,843,25
15,2017-09-25,851.5,851.5,849,844.5,210
16,2017-09-22,869,869,862.5,866,153
17,2017-09-21,877.5,878.5,871.5,873.5,76
18,2017-09-20,876,877,864,876,721
19,2017-09-19,874,874,873,873,155
20,2017-09-18,873.5,875,870,873,137
21,2017-09-15,0,0,0,858,463
22,2017-09-14,0,0,0,857.5,2173
23,2017-09-13,0,0,0,856,1429
24,2017-09-12,0,0,0,854.5,8025
25,2017-09-11,0,0,0,850.5,6896
26,2017-09-08,0,0,0,839.5,0
27,2017-09-07,0,0,0,841,406
28,2017-09-06,0,0,0,835.5,1104
29,2017-09-05,837.5,838,835,836.5,1920
30,2017-09-04,835.5,835.5,835.5,840,5
31,2017-09-01,0,0,0,844,884
32,2017-08-31,0,0,0,842,8
33,2017-08-30,0,0,0,837.5,4
34,2017-08-29,0,0,0,832.5,0
35,2017-08-28,0,0,0,834.5,0
36,2017-08-25,0,0,0,841,0
37,2017-08-24,837,838,837,836.5,11
38,2017-08-23,832.5,836,828.5,837.5,237
39,2017-08-22,0,0,0,831.5,245
40,2017-08-21,0,0,0,820,517
41,2017-08-18,0,0,0,815,93
42,2017-08-17,815.5,819,815.5,816.5,44867
43,2017-08-16,0,0,0,820,75
44,2017-08-15,0,0,0,805,21665
45,2017-08-14,0,0,0,809,576
46,2017-08-11,0,0,0,793.5,100
47,2017-08-10,0,0,0,807.5,0
48,2017-08-09,0,0,0,821,16947
49,2017-08-08,0,0,0,829.5,0
50,2017-08-07,0,0,0,819.5,232
51,2017-08-04,0,0,0,809.5,158
52,2017-08-03,0,0,0,806.5,106
53,2017-08-02,0,0,0,804.5,0
54,2017-08-01,0,0,0,813,433
55,2017-07-31,813,813,813,808.5,14
56,2017-07-28,0,0,0,803.5,0
57,2017-07-27,806.5,806.5,806.5,809,215
58,2017-07-26,795,795,795,798,223
59,2017-07-25,0,0,0,795.5,635
60,2017-07-24,0,0,0,794,234
61,2017-07-21,792.5,793,792.5,789.5,10
62,2017-07-20,0,0,0,794,0
63,2017-07-19,0,0,0,795.5,20
64,2017-07-18,781.5,781.5,781.5,783,145
65,2017-07-17,0,0,0,778.5,2735
66,2017-07-14,782,782,782,783,995
67,2017-07-13,0,0,0,772.5,175
68,2017-07-12,0,0,0,770.5,1190
69,2017-07-11,0,0,0,753,0
70,2017-07-10,0,0,0,742.5,0
71,2017-07-07,0,0,0,738,15
72,2017-07-06,0,0,0,739.5,0
73,2017-07-05,746,746,746,744,6
74,2017-07-04,742,743,742,741,38
75,2017-07-03,0,0,0,749.5,242
76,2017-06-30,0,0,0,743.5,15
77,2017-06-29,0,0,0,743,0
78,2017-06-28,0,0,0,750,10
79,2017-06-27,0,0,0,753,737
80,2017-06-26,757,758,757,753,1183
81,2017-06-23,0,0,0,748.5,160
82,2017-06-22,0,0,0,750,1652
83,2017-06-21,744,744,744,742.5,595
84,2017-06-20,0,0,0,739.5,0
85,2017-06-19,740,740,740,744.5,5
86,2017-06-16,0,0,0,727,1313
87,2017-06-15,726.5,726.5,726.5,726.5,4243
88,2017-06-14,739.5,739.5,739.5,740.5,2134
89,2017-06-13,741.5,742.5,741,739,686
90,2017-06-12,735,735,735,739,9754
91,2017-06-09,749.5,750.5,749.5,753,10
92,2017-06-08,741,752.5,741,749.5,15114
93,2017-06-07,734,734,734,737,2
94,2017-06-06,736,736,736,736.5,18
95,2017-06-05,731,733.5,731,733,3315
96,2017-06-02,733.5,733.5,733.5,733.5,2404
97,2017-06-01,0,0,0,730,9840
98,2017-05-31,725,725,725,724.5,12
99,2017-05-30,0,0,0,729.5,0
100,2017-05-29,732,732.5,732,731.5,8799
101,2017-05-26,731.5,732,731.5,731.5,11702
102,2017-05-25,729.5,729.5,728.5,731,795
103,2017-05-24,0,0,0,722,55
104,2017-05-23,0,0,0,724.5,24324
105,2017-05-22,0,0,0,725.5,142
106,2017-05-19,711,711,711,719,371
107,2017-05-18,0,0,0,706,0
108,2017-05-17,0,0,0,708.5,841
109,2017-05-16,710.5,710.5,710.5,715.5,1628
110,2017-05-15,0,0,0,712,0
111,2017-05-12,0,0,0,708,0
112,2017-05-11,701,701,701,700,17
113,2017-05-10,0,0,0,703,190
114,2017-05-09,694,696,694,698.5,14
115,2017-05-08,0,0,0,684,90
116,2017-05-05,680.5,681,680.5,680.5,49
117,2017-05-04,686,686,686,682.5,12
118,2017-05-03,691.5,691.5,691.5,690.5,4
119,2017-05-02,691,691,691,692.5,343
120,2017-04-28,0,0,0,689.5,0
121,2017-04-27,689.5,689.5,689.5,690.5,5
122,2017-04-26,693,693,693,694,5
123,2017-04-25,692,692.5,692,694,116
124,2017-04-24,0,0,0,684,0
125,2017-04-21,0,0,0,678.5,0
126,2017-04-20,0,0,0,679,1500
127,2017-04-19,675.5,675.5,675.5,674.5,1359
128,2017-04-18,0,0,0,672,242
129,2017-04-13,0,0,0,681,330
130,2017-04-12,0,0,0,677.5,0
131,2017-04-11,0,0,0,673,731
132,2017-04-10,0,0,0,680,156
133,2017-04-07,0,0,0,681,812
134,2017-04-06,679,679,679,681,2979
135,2017-04-05,685.5,685.5,685.5,683,67
136,2017-04-04,0,0,0,682,600
137,2017-04-03,679.5,679.5,677.5,678,12
138,2017-03-31,0,0,0,675.5,0
139,2017-03-30,0,0,0,679.5,639
140,2017-03-29,0,0,0,682.5,0
141,2017-03-28,0,0,0,684.5,0
142,2017-03-27,674.5,674.5,674.5,679.5,6
143,2017-03-23,0,0,0,684,3271
144,2017-03-22,0,0,0,682,437
145,2017-03-21,681,681,681,681.5,23
146,2017-03-20,688.5,688.5,688.5,690,5
147,2017-03-17,0,0,0,678.5,1575
148,2017-03-16,0,0,0,680,2904
149,2017-03-15,0,0,0,664,770
150,2017-03-14,662.5,662.5,662,662.5,11018
151,2017-03-13,0,0,0,666.5,9604
152,2017-03-10,0,0,0,653.5,0
153,2017-03-09,0,0,0,650,607
154,2017-03-08,0,0,0,659,6879
155,2017-03-07,0,0,0,657,0
156,2017-03-06,0,0,0,653,409
157,2017-03-03,0,0,0,654.5,50
158,2017-03-02,655,655,655,654,1408
159,2017-03-01,663.5,664,663,664.5,29
160,2017-02-28,659.5,659.5,659.5,658,4587
161,2017-02-27,0,0,0,660,364
162,2017-02-24,662.5,662.5,662.5,662,15
163,2017-02-23,0,0,0,669,5387
164,2017-02-22,0,0,0,672.5,2805
165,2017-02-21,0,0,0,666,12
166,2017-02-20,665.5,665.5,665.5,665.5,19962
167,2017-02-17,0,0,0,660,460
168,2017-02-16,664.5,664.5,664.5,664.5,1574
169,2017-02-15,663.5,663.5,663.5,663,456
170,2017-02-14,0,0,0,653,0
171,2017-02-13,0,0,0,660.5,0
172,2017-02-10,0,0,0,653.5,142
173,2017-02-09,0,0,0,653.5,0
174,2017-02-08,0,0,0,645,180
175,2017-02-07,0,0,0,637.5,0
176,2017-02-06,0,0,0,638.5,0
177,2017-02-03,0,0,0,636,207
178,2017-02-02,0,0,0,635.5,953
179,2017-02-01,635.5,635.5,635.5,634,593
180,2017-01-31,0,0,0,632.5,1134
181,2017-01-30,0,0,0,630.5,1305
182,2017-01-27,0,0,0,635.5,2662
183,2017-01-26,0,0,0,637,2421
184,2017-01-25,632,632,631.5,636.5,16
185,2017-01-24,628,629,628,630.5,300
186,2017-01-23,0,0,0,624.5,678
187,2017-01-20,0,0,0,623.5,0
188,2017-01-19,0,0,0,625,0
189,2017-01-18,0,0,0,627,82
190,2017-01-17,622.5,622.5,622.5,623,1
191,2017-01-16,0,0,0,621,372
192,2017-01-13,0,0,0,625,603
193,2017-01-12,624.5,624.5,623,620.5,12
194,2017-01-11,624.5,624.5,624.5,622.5,30
195,2017-01-10,0,0,0,625,0
196,2017-01-09,0,0,0,615.5,0
197,2017-01-06,613.5,613.5,613.5,611.5,805
198,2017-01-05,0,0,0,613.5,0
199,2017-01-04,0,0,0,603.5,172
200,2017-01-03,595.5,595.5,595.5,596.5,5
201,2017-01-02,0,0,0,595.5,0
202,2016-12-30,0,0,0,590,0
203,2016-12-29,0,0,0,592,0
204,2016-12-28,583.5,583.5,583,584.5,21
205,2016-12-27,0,0,0,579.5,0
206,2016-12-23,577,577,576.5,577,702
207,2016-12-22,583.5,583.5,583.5,576.5,30
208,2016-12-21,586,586,586,586,0
209,2016-12-20,588,588,588,588,0
210,2016-12-19,591.077,591.077,591.077,591.077,0
211,2016-12-16,592,592,592,592,400
212,2016-12-15,595.5,595.5,592.5,592.5,776
213,2016-12-14,605.5,605.5,605.5,607.5,4223
214,2016-12-13,611,611,611,611,2900
215,2016-12-12,0,0,0,602,4680
216,2016-12-09,0,0,0,615.5,14908
217,2016-12-08,615,615,615,618,5
218,2016-12-07,0,0,0,615.5,13004
219,2016-12-06,0,0,0,611.5,0
220,2016-12-05,0,0,0,613.5,162
221,2016-12-02,0,0,0,614,0
222,2016-12-01,0,0,0,618.5,419
223,2016-11-30,0,0,0,623,234
224,2016-11-29,0,0,0,620.5,1039
225,2016-11-28,0,0,0,618,132
226,2016-11-25,0,0,0,614,0
